"","0wk","1wk","2wk","3wk","4wk","5wk","6wk","7wk","8wk","9wk","10wk","11wk","12wk","13wk","14wk","15wk","16wk","17wk","18wk","19wk","20wk","21wk","22wk","23wk","24wk","25wk","26wk","27wk","28wk","29wk","30wk","31wk","32wk","33wk","34wk","35wk","36wk","37wk","38wk","39wk","40wk","41wk","42wk","43wk","44wk","45wk","46wk","47wk","48wk","49wk","50wk","51wk","52wk","53wk"
"0wk",0.947736866081704,0.910436433944809,0.862394091973159,0.814445897056409,0.770785208662264,0.732152166888164,0.697755841823337,0.667024422980861,0.639536258239908,0.614867188255595,0.592651130049588,0.572617333681247,0.55453301607274,0.538219232622282,0.523467104814054,0.510077405397825,0.497903419055615,0.486820736770936,0.476719756628424,0.467507853006505,0.459094742564631,0.451411215879006,0.444396412527415,0.437993302230369,0.432163462740195,0.4268693636707,0.422052593199653,0.417663770843691,0.413669827338897,0.410051910814717,0.406774625805284,0.403803864215136,0.401121032884579,0.398701766637526,0.396519068408229,0.394547204037828,0.392767040964523,0.391163941556767,0.38972398200577,0.388432842100463,0.387279364760231,0.386254972455546,0.385350230995597,0.384556906303408,0.383870053163072,0.383284482730753,0.382794631951988,0.382389307034942,0.382060154583968,0.381800462615448,0.381604084580666,0.381465890079448,0.381380920839531,0.381343939797745
"1wk",0.910436433944809,0.926918050018209,0.908402059924781,0.880333393799182,0.849012272626123,0.817107938184358,0.785901422465931,0.756001535157315,0.72767701145476,0.701027180266431,0.676063794223005,0.652750402007696,0.631023406530167,0.610804652613645,0.592009285145781,0.574550606665465,0.558342984560017,0.543303522254437,0.529352972087669,0.516416198087475,0.504422378414605,0.493305056620692,0.483002099467262,0.47345558853353,0.46461166241707,0.456420320996259,0.448835204793408,0.441813360931421,0.435315005816671,0.429303291623965,0.423744083155772,0.418605747140595,0.413858956529462,0.409476509983193,0.405433166490705,0.401705493906878,0.398271730560716,0.395111658619692,0.392206488110391,0.38953875021382,0.387092199210363,0.384851722191052,0.382803255699166,0.380933708699598,0.3792308915596,0.377683450488316,0.376280806897543,0.375013101502919,0.37387114280558,0.37284635944811,0.371930756426639,0.371116874558682,0.370397753239399,0.369766895870144
"2wk",0.862394091973159,0.908402059924781,0.916691937679527,0.908839089023076,0.892331148124116,0.870720274243467,0.846754602837888,0.821839732951675,0.796648447391998,0.77161051469598,0.747087115617094,0.72334984436139,0.70055695055741,0.678797007113312,0.658105550175326,0.638494608769498,0.619962348906858,0.602501319946888,0.586079259960043,0.570664291582265,0.556229566480662,0.542748640719418,0.530166065480753,0.518427860653507,0.507489397953884,0.497309686740677,0.487850379653061,0.479063364996425,0.470907954558464,0.463349233348082,0.456349187842394,0.449874052537506,0.443894194335799,0.438381259594813,0.433303531909635,0.428632373167848,0.424343838459494,0.42042055601633,0.41684017022843,0.413576040102255,0.41060788225908,0.407919557356765,0.405489598758474,0.403298116160656,0.401328111940835,0.399564266092664,0.397992504059234,0.396599919081412,0.395374650345106,0.394305573508745,0.393382284134178,0.392595471615635,0.391937602719906,0.391402497225939
"3wk",0.814445897056409,0.880333393799182,0.908839089023076,0.916870517403985,0.912822360029721,0.901509917551414,0.885882105567301,0.867531794778787,0.847341549639354,0.825985759934026,0.804098119109754,0.782152859444553,0.760462251648384,0.739241838062367,0.718648920663066,0.698795548229613,0.679756944986633,0.661580420838133,0.644292808007673,0.627905955150319,0.612419810643893,0.597823711842104,0.584098305101043,0.57121855823265,0.559155636916158,0.547877423946206,0.537349203557494,0.527535032024891,0.518399023911887,0.509906079581715,0.502022197021438,0.49471459892443,0.487951783532445,0.481703536806902,0.475940927786688,0.470636289228741,0.465763175982661,0.461296306290449,0.457211504985237,0.453485658555164,0.450096678301918,0.447023466564955,0.444245885525239,0.441744727344561,0.439501684806928,0.437499327153251,0.435721087581234,0.434151260333608,0.432774995749956,0.431578282805771,0.430547917581971,0.429671462471717,0.428937204524361,0.428334119577815
"4wk",0.770785208662264,0.849012272626123,0.892331148124116,0.912822360029721,0.919360028469822,0.917343916868052,0.909667480807165,0.89804064105203,0.883432084046575,0.866540138402268,0.848255950801715,0.829221292418447,0.809790190318661,0.790222827660729,0.770802097150797,0.751736080464753,0.733160030972357,0.715173895883625,0.697852235759601,0.681245604711237,0.665388678987893,0.650301695404992,0.635989498494421,0.622444730533791,0.609661182602219,0.5976318743945,0.586337702220483,0.575744820760614,0.565827731407785,0.556562201017645,0.547919623293958,0.53987215435316,0.53239795967071,0.525473592063314,0.519067914936747,0.513148958058371,0.507689717333505,0.502665634132756,0.498053357014573,0.493828110444125,0.489967064764773,0.486448744146007,0.483252482911032,0.480356326713649,0.477741064356449,0.475389763345335,0.473285220059372,0.471410469347201,0.469750180412227,0.468289958915188,0.467017114684895,0.465918085040835,0.464979068450775,0.464187449763644
"5wk",0.732152166888164,0.817107938184358,0.870720274243467,0.901509917551414,0.917343916868052,0.923389195310907,0.922685790311539,0.917089115159059,0.907747375751691,0.895530418918613,0.881289240459652,0.865637395185887,0.849007452262561,0.831738754464226,0.814152258111857,0.796507128690861,0.778998816428202,0.761776442703003,0.744957925524695,0.728631825116161,0.712863196279082,0.697698620785783,0.683169952176452,0.669297504977402,0.656092826067985,0.643559816851866,0.631693570477502,0.620484923458039,0.609922368374552,0.599991621395377,0.590673395786973,0.581947286509232,0.573793389977709,0.566192159508453,0.559117649833211,0.55254544334988,0.546452216895849,0.540814391247735,0.535607585485596,0.530807708268851,0.526391757227417,0.52233791472557,0.518625426664452,0.515234287498903,0.512145546382089,0.509341216816807,0.506804163213454,0.504518179990357,0.502467892681039,0.500638242641407,0.499013917910793,0.497580035279131,0.496322557296666,0.495228228021289
"6wk",0.697755841823337,0.785901422465931,0.846754602837888,0.885882105567301,0.909667480807165,0.922685790311539,0.928146498716805,0.928067227592051,0.923731722067014,0.916088306221213,0.905922335534447,0.893821740321064,0.880228219891803,0.865500843254059,0.850008582770267,0.834063034663978,0.817907416008459,0.801733164691161,0.785691822854125,0.769903216437059,0.75446137497632,0.739439514923438,0.724895859751495,0.710874725835064,0.697408222481035,0.684518250097186,0.672218169058626,0.660514331158329,0.649407322356785,0.638892915357222,0.628962906356957,0.619605897617906,0.610807952324454,0.60255310402355,0.594823788638934,0.58760124124385,0.580865850288195,0.574597458648689,0.56877561875267,0.563379808981815,0.558389610644661,0.553784842220548,0.549545653292757,0.545652586409978,0.542086616995941,0.53882917943239,0.53586218550675,0.533168041115418,0.530729666570811,0.528530524762458,0.526554659305944,0.524786738554996,0.523212099017671,0.521816780355754
"7wk",0.667024422980861,0.756001535157315,0.821839732951675,0.867531794778787,0.89804064105203,0.917089115159059,0.928067227592051,0.933067549946506,0.93342340721596,0.930103052968906,0.923864221733298,0.915275688550911,0.904750306345228,0.892641873817759,0.879349579683485,0.86524709217076,0.850615114912354,0.835668434209172,0.820588603874699,0.805524468285535,0.79059278956116,0.775889069225733,0.761494962243441,0.747478391384021,0.733892975325541,0.720779390344619,0.708167556605396,0.696078714500396,0.684527017593286,0.673520067151265,0.663059137417623,0.653141576228897,0.643762210568892,0.634912969258414,0.626582284683211,0.618757053506162,0.611423587542073,0.604566778498438,0.598169324447412,0.592213220055091,0.58668060551268,0.581553668988286,0.576814555461125,0.572445427630367,0.568428483897512,0.564745857634057,0.561379602070233,0.558311859650175,0.555524984465013,0.553001339790802,0.550723147996264,0.548672983144754,0.546834193230447,0.545190889838443
"8wk",0.639536258239908,0.72767701145476,0.796648447391998,0.847341549639354,0.883432084046575,0.907747375751691,0.923731722067014,0.93342340721596,0.938114111031287,0.938761676035911,0.936145551626969,0.930867273323509,0.923334973955706,0.913794463463235,0.902707016982058,0.890553166866267,0.87760835863575,0.864052727786708,0.850120170953131,0.835990247608261,0.821787152516495,0.807609614129639,0.793567955019726,0.779758411625183,0.76625323021172,0.75310985005488,0.740373432528987,0.728078108981599,0.716252761946792,0.704920350580359,0.69408745311959,0.683757181357414,0.673935105425684,0.66462246009137,0.655812660556779,0.64749574448931,0.639662422282885,0.632305080305711,0.625408031212186,0.618955036368127,0.612936977143338,0.607344691137442,0.602156334658897,0.59735201619285,0.59291812756353,0.58884372135356,0.585110810195859,0.581695854044258,0.578582674510967,0.575757281294712,0.573198946979147,0.570883655843138,0.568792872373908,0.566911513491093
"9wk",0.614867188255595,0.701027180266431,0.77161051469598,0.825985759934026,0.866540138402268,0.895530418918613,0.916088306221213,0.930103052968906,0.938761676035911,0.942991403970009,0.943607400454563,0.941260785156573,0.936399603996582,0.92935053370135,0.920563668159354,0.910455387069164,0.899305162741009,0.887326227037319,0.874744202613394,0.861745817173955,0.848478923148874,0.835068097874888,0.8216300947096,0.808273478576148,0.795087856944267,0.782146228255606,0.769508972208739,0.757225514474021,0.745335931608038,0.733871052332933,0.722851591338882,0.712292034798797,0.702203196658413,0.69259147975388,0.683457052035224,0.674797287632358,0.666607658660849,0.658881840342392,0.651611358027961,0.644785954245316,0.638394344772241,0.632424130282704,0.626861763825148,0.621693150083154,0.616904249450844,0.61248021359301,0.608403115311831,0.60465328279419,0.60121137407168,0.59805856392358,0.595176409142799,0.592546937221159,0.590152780528534,0.587977132939517
"10wk",0.592651130049588,0.676063794223005,0.747087115617094,0.804098119109754,0.848255950801715,0.881289240459652,0.905922335534447,0.923864221733298,0.936145551626969,0.943607400454563,0.947121194891608,0.947425427900903,0.945048243908314,0.94040919604155,0.933907425324,0.925887891691063,0.91661952559697,0.906331503216453,0.895240891932733,0.883535224894693,0.871371866766196,0.858891883754116,0.846226718887542,0.833495194784722,0.820800252162167,0.808229458878239,0.795856847038536,0.783744232447604,0.771942192495139,0.760491199601165,0.749423010937572,0.738762092084332,0.728526718326577,0.718729661922419,0.709378867607285,0.700478278937207,0.692028438574677,0.684026831472343,0.676468251587332,0.669345274700683,0.662648708286759,0.656367919489086,0.650491043118598,0.645005099261583,0.63989605133154,0.63514885692294,0.630747571682347,0.626675525244406,0.622915538202012,0.619450146442969,0.616261823460698,0.613333192221116,0.610647213362824,0.608187341531926
"11wk",0.572617333681247,0.652750402007696,0.72334984436139,0.782152859444553,0.829221292418447,0.865637395185887,0.893821740321064,0.915275688550911,0.930867273323509,0.941260785156573,0.947425427900903,0.950224052003546,0.950237288497206,0.947907911702122,0.943612270078037,0.93766379587714,0.930307371588795,0.921748968832198,0.912225880048112,0.901922087723748,0.890979234351334,0.879534667011281,0.867744856809924,0.85574926017331,0.843661438694954,0.831578175958168,0.819586285457097,0.807760629306498,0.796162637149165,0.784841654804672,0.773837392841669,0.763181828347082,0.75290048100028,0.743013327558418,0.733533634676962,0.724471579108167,0.715834979911032,0.707626793811258,0.699843464101685,0.692479254229727,0.685527495067457,0.678979942358088,0.672826772961912,0.667057348746639,0.661660535590706,0.656624012229644,0.651933682638728,0.647574756863707,0.643532597284575,0.63979142401447,0.63633361737836,0.633141783556976,0.630199290141501,0.627489738375501
"12wk",0.55453301607274,0.631023406530167,0.70055695055741,0.760462251648384,0.809790190318661,0.849007452262561,0.880228219891803,0.904750306345228,0.923334973955706,0.936399603996582,0.945048243908314,0.950237288497206,0.952550085959515,0.952427286747498,0.950235252417915,0.946274715886298,0.940776898306135,0.933954969606491,0.926032221024407,0.917187504380998,0.907538867160352,0.89719418566729,0.886359528046066,0.875197129536775,0.863821867820091,0.852334144504842,0.840833092103925,0.829410204067401,0.818135804033937,0.807064778282896,0.796242815964798,0.785709044545381,0.775495789757118,0.765630184885857,0.756128954575003,0.747004880721797,0.738271530922876,0.729939669743622,0.722005999440667,0.714467396045555,0.707323550766731,0.700571234750281,0.694199461517879,0.688198613684524,0.682563970137209,0.677288091131415,0.672356911432838,0.667752671544906,0.663462215164859,0.659475058546121,0.655771608326545,0.652333524046329,0.649148203631033,0.646205837774471
"13wk",0.538219232622282,0.610804652613645,0.678797007113312,0.739241838062367,0.790222827660729,0.831738754464226,0.865500843254059,0.892641873817759,0.913794463463235,0.92935053370135,0.94040919604155,0.947907911702122,0.952427286747498,0.954405704101416,0.954208629295033,0.952134548774046,0.948426315356176,0.943299196082575,0.936948101885387,0.929532946060969,0.921178223466876,0.912010947200624,0.902216451640745,0.891965307031017,0.881391010397163,0.870606514135682,0.859719279451115,0.848822642417219,0.837993593932737,0.827294847495139,0.816779255338987,0.806491663349607,0.79646948947104,0.786743163065604,0.777335639465861,0.768264727357049,0.759544671108599,0.75118563638419,0.743193469291165,0.735571075785119,0.728319626251035,0.721437918983948,0.714920917910892,0.708762875955396,0.702959096070929,0.697502603753734,0.692379085415023,0.687574204993716,0.683074979056981,0.678868092592047,0.674938929032101,0.671272288084467,0.667853441540324,0.664667510250333
"14wk",0.523467104814054,0.592009285145781,0.658105550175326,0.718648920663066,0.770802097150797,0.814152258111857,0.850008582770267,0.879349579683485,0.902707016982058,0.920563668159354,0.933907425324,0.943612270078037,0.950235252417915,0.954208629295033,0.955908620777586,0.955640127322714,0.953651850986816,0.950156681547475,0.945335870099923,0.939336538046548,0.932283706109757,0.924317515632769,0.915611311735547,0.906335716925644,0.896635566613812,0.886635461456819,0.876447227835561,0.866168389776291,0.855880941251018,0.845653356381164,0.835543290460633,0.825599509322713,0.815862992003199,0.806367697392178,0.797141355333296,0.788206350457585,0.779580475899105,0.771277460728315,0.763307432636161,0.755677369276257,0.748391381012729,0.741450711489523,0.734853699352094,0.728596303138997,0.72267265834013,0.717075004771721,0.711793650870791,0.706817618218533,0.702135211780526,0.697733917851263,0.693600183670633,0.689719799618263,0.686078378642115,0.682661537361902
"15wk",0.510077405397825,0.574550606665465,0.638494608769498,0.698795548229613,0.751736080464753,0.796507128690861,0.834063034663978,0.86524709217076,0.890553166866267,0.910455387069164,0.925887891691063,0.93766379587714,0.946274715886298,0.952134548774046,0.955640127322714,0.957097296036434,0.956753741491561,0.954823367709031,0.951490400388104,0.946903380110515,0.941169498432993,0.934397512408357,0.926789867096498,0.918531997991321,0.90976472855251,0.900607986414593,0.89118320170242,0.881593899888703,0.871924705203068,0.862245879842257,0.852617812510545,0.843092951565066,0.833716037275304,0.824524775723172,0.815550526579874,0.806819355131137,0.798353039028586,0.79016907911832,0.782280677886749,0.77469814083286,0.767429666555221,0.760480074827039,0.753848720697865,0.747531900650148,0.7415254886645,0.735824023374177,0.73041902279162,0.72530118268425,0.720461839235431,0.715891691686491,0.711578070427311,0.707507455367854,0.703667214192536,0.700045115349407
"16wk",0.497903419055615,0.558342984560017,0.619962348906858,0.679756944986633,0.733160030972357,0.778998816428202,0.817907416008459,0.850615114912354,0.87760835863575,0.899305162741009,0.91661952559697,0.930307371588795,0.940776898306135,0.948426315356176,0.953651850986816,0.956753741491561,0.957973144923005,0.957524451819413,0.955601813717246,0.952367006000707,0.947923568975767,0.942346879022662,0.935861153609677,0.92866596882346,0.920884169553312,0.912629733868233,0.90403258399128,0.895200970964873,0.886220713753944,0.877160143019043,0.868081895994319,0.859044370632855,0.85009532503079,0.84127552282771,0.832619923835506,0.824157106832951,0.815913154985979,0.807910884298268,0.800163545993952,0.792682502214468,0.785482326352988,0.778572944144208,0.771952035168009,0.765615359659052,0.759563154113623,0.753795972776597,0.748302794465653,0.743074387070116,0.738105814594963,0.73339267019013,0.72892147368253,0.724679163722053,0.72065765757098,0.716849588824306
"17wk",0.486820736770936,0.543303522254437,0.602501319946888,0.661580420838133,0.715173895883625,0.761776442703003,0.801733164691161,0.835668434209172,0.864052727786708,0.887326227037319,0.906331503216453,0.921748968832198,0.933954969606491,0.943299196082575,0.950156681547475,0.954823367709031,0.957524451819413,0.958467740367423,0.957858278188865,0.955871192056714,0.952634036002822,0.948265614583,0.942945983863242,0.936846863230744,0.930093950020763,0.922802632835844,0.915097052421763,0.907084127810683,0.898850875256624,0.890469461897438,0.88200643137973,0.873521475318556,0.865065467347638,0.856681929726442,0.848409104846055,0.84027995522382,0.832323159867018,0.824562483943759,0.81701576721785,0.809697847342373,0.802621551115179,0.79579608910278,0.789225431115099,0.782911034277854,0.776853356431306,0.771050931307649,0.7654994774979,0.760193654149939,0.755127981749023,0.750296034770075,0.745689506779632,0.741299365745377,0.737116682109776,0.733131936840275
"18wk",0.476719756628424,0.529352972087669,0.586079259960043,0.644292808007673,0.697852235759601,0.744957925524695,0.785691822854125,0.820588603874699,0.850120170953131,0.874744202613394,0.895240891932733,0.912225880048112,0.926032221024407,0.936948101885387,0.945335870099923,0.951490400388104,0.955601813717246,0.957858278188865,0.958487910530847,0.957693409918129,0.955631763995634,0.952446566489806,0.94828916384214,0.943300943537827,0.937600978899895,0.931302530235381,0.924522996641403,0.917368299034565,0.90992598604648,0.902270758966057,0.894470872336365,0.886587951075184,0.878675483826506,0.870779659012428,0.862941549465555,0.855196957530315,0.847576245698453,0.840104790370623,0.832803540826874,0.825689710090892,0.818777150864583,0.812076352134868,0.805594625712148,0.799336702359918,0.793305183320574,0.787500657338998,0.781921826808327,0.776565825787819,0.771428550268573,0.766504843976204,0.761788616226453,0.757272975346168,0.752950310936252,0.74881229231161
"19wk",0.467507853006505,0.516416198087475,0.570664291582265,0.627905955150319,0.681245604711237,0.728631825116161,0.769903216437059,0.805524468285535,0.835990247608261,0.861745817173955,0.883535224894693,0.901922087723748,0.917187504380998,0.929532946060969,0.939336538046548,0.946903380110515,0.952367006000707,0.955871192056714,0.957693409918129,0.958068689189719,0.957167261759095,0.955136886334458,0.952117560029739,0.948235252032262,0.943593594551929,0.938288324958817,0.932444379748952,0.92617102005963,0.919551293198677,0.912653008630022,0.905547696921964,0.89830226403544,0.890971465719189,0.883602062776999,0.876237833586506,0.868916905260851,0.861671175398619,0.854527623006631,0.847508929677684,0.840634310988446,0.833919937937737,0.827378614984347,0.821019297330422,0.814849243114124,0.808874293281952,0.803098111785905,0.797521595454754,0.792143467349683,0.786961404598534,0.781972302945155,0.777172055852681,0.772555797717529,0.768118338916548,0.763853977426511
"20wk",0.459094742564631,0.504422378414605,0.556229566480662,0.612419810643893,0.665388678987893,0.712863196279082,0.75446137497632,0.79059278956116,0.821787152516495,0.848478923148874,0.871371866766196,0.890979234351334,0.907538867160352,0.921178223466876,0.932283706109757,0.941169498432993,0.947923568975767,0.952634036002822,0.955631763995634,0.957167261759095,0.957409694900576,0.956504934493782,0.954588901893375,0.951782976301439,0.948179803670844,0.94385927109319,0.938953332248755,0.933573564609322,0.927797159292494,0.921677524015569,0.915289263742591,0.908709962411945,0.90199400300403,0.895185576194164,0.888330467876934,0.881469583785359,0.874635599026914,0.867855989137804,0.861155833270425,0.854556264961404,0.848075731097859,0.841728849831998,0.835525989342827,0.829476348930789,0.82358975879898,0.817874425377322,0.812332297019849,0.80696146438453,0.801762821371207,0.796736115776276,0.791878275004937,0.78718594916641,0.782657088478438,0.778289105820213
"21wk",0.451411215879006,0.493305056620692,0.542748640719418,0.597823711842104,0.650301695404992,0.697698620785783,0.739439514923438,0.775889069225733,0.807609614129639,0.835068097874888,0.858891883754116,0.879534667011281,0.89719418566729,0.912010947200624,0.924317515632769,0.934397512408357,0.942346879022662,0.948265614583,0.952446566489806,0.955136886334458,0.956504934493782,0.956693331186163,0.955837372614637,0.954058508288488,0.951453729853031,0.948109331896861,0.944142655698502,0.939655008157781,0.934720642984987,0.929396131607534,0.923754265406741,0.917867709016558,0.911793133355724,0.90557729611685,0.899264770210365,0.892896634769666,0.886507359454954,0.880126705114233,0.873780814630721,0.867492488542214,0.861281441452675,0.855164511666347,0.849154955255249,0.843264461500265,0.837504035569399,0.831883085454279,0.82640535376399,0.821072882033556,0.815887450409393,0.810850002802615,0.805960026246542,0.80121637938099,0.796618059069637,0.792162941140503
"22wk",0.444396412527415,0.483002099467262,0.530166065480753,0.584098305101043,0.635989498494421,0.683169952176452,0.724895859751495,0.761494962243441,0.793567955019726,0.8216300947096,0.846226718887542,0.867744856809924,0.886359528046066,0.902216451640745,0.915611311735547,0.926789867096498,0.935861153609677,0.942945983863242,0.94828916384214,0.952117560029739,0.954588901893375,0.955837372614637,0.956002535514314,0.95521343914966,0.953576789247107,0.951189375182549,0.948149759558017,0.94454632087857,0.940451325719799,0.935929426677114,0.931047762739347,0.925871607336888,0.920457574596347,0.914854602487633,0.909107541663194,0.903257088007765,0.897338782134853,0.891383736352993,0.885419599078638,0.879470891544422,0.873559001871697,0.867702279097657,0.861916416660477,0.856215063747199,0.850610016175544,0.845110798333613,0.839724367508313,0.834455735195726,0.829308558665329,0.824285283077479,0.819387241483892,0.814614894175902,0.80996789494395,0.805444743648161
"23wk",0.437993302230369,0.47345558853353,0.518427860653507,0.57121855823265,0.622444730533791,0.669297504977402,0.710874725835064,0.747478391384021,0.779758411625183,0.808273478576148,0.833495194784722,0.85574926017331,0.875197129536775,0.891965307031017,0.906335716925644,0.918531997991321,0.92866596882346,0.936846863230744,0.943300943537827,0.948235252032262,0.951782976301439,0.954058508288488,0.95521343914966,0.955390546416985,0.954702625174213,0.95324737100763,0.951115138116524,0.948386274258258,0.945128673389841,0.941404463344567,0.93727969184738,0.932818254675994,0.92807428511597,0.923095109478284,0.917926185304051,0.912609295947732,0.90718012327177,0.901669589695348,0.896106885750382,0.890518790910846,0.884928256417238,0.87935469891298,0.873815176009873,0.868324931407484,0.862897142292793,0.857542815743769,0.852270936823788,0.847088689529726,0.842001994308303,0.837015295258196,0.832130995738401,0.827350640646413,0.822675507589001,0.818106333596739
"24wk",0.432163462740195,0.46461166241707,0.507489397953884,0.559155636916158,0.609661182602219,0.656092826067985,0.697408222481035,0.733892975325541,0.76625323021172,0.795087856944267,0.820800252162167,0.843661438694954,0.863821867820091,0.881391010397163,0.896635566613812,0.90976472855251,0.920884169553312,0.930093950020763,0.937600978899895,0.943593594551929,0.948179803670844,0.951453729853031,0.953576789247107,0.954702625174213,0.954944112116058,0.954397389850773,0.953149290287754,0.951277172768918,0.948845235232996,0.945906736080836,0.942530067831465,0.938781356567951,0.934710242453162,0.930358937105355,0.925774185070434,0.921000339775184,0.916073090626849,0.911021192954793,0.905875310843271,0.900664880364424,0.895413880852771,0.890142281364183,0.884867971354425,0.879608118466274,0.874377527778053,0.869189152373661,0.864053535995937,0.858979006720012,0.853973466611776,0.849044318405838,0.844194496198974,0.839426479953414,0.834743252609542,0.830147885797017
"25wk",0.4268693636707,0.456420320996259,0.497309686740677,0.547877423946206,0.5976318743945,0.643559816851866,0.684518250097186,0.720779390344619,0.75310985005488,0.782146228255606,0.808229458878239,0.831578175958168,0.852334144504842,0.870606514135682,0.886635461456819,0.900607986414593,0.912629733868233,0.922802632835844,0.931302530235381,0.938288324958817,0.94385927109319,0.948109331896861,0.951189375182549,0.95324737100763,0.954397389850773,0.95473405056963,0.954342393156583,0.95329832214814,0.951665443834787,0.949499116789171,0.946863730135744,0.94382051844306,0.940417245653859,0.936694755798914,0.932699835890873,0.928475170744145,0.92405638459134,0.919474654975594,0.914760266863097,0.909941880299852,0.905044668707628,0.900090610520078,0.89509923151931,0.890088393524802,0.885074300360594,0.880071367333789,0.875091452662056,0.870144754437154,0.865240436957972,0.860386305001309,0.855588256112457,0.850851039543094,0.84617896934137,0.841575852654148
